,canada_id,arwu_name,canada_name,arwu_rank,arwu_link
208,1866,University of Toledo,University of Toledo,601-700,https://www.shanghairanking.com/institution/university-of-toledo
209,1943,Wayne State University,Wayne State University,601-700,https://www.shanghairanking.com/institution/wayne-state-university
210,237,American University of Beirut,American University,701-800,https://www.shanghairanking.com/institution/american-university-of-beirut
212,1135,Chungbuk National University,National University,701-800,https://www.shanghairanking.com/institution/chungbuk-national-university
213,1135,Chungnam National University,National University,701-800,https://www.shanghairanking.com/institution/chungnam-national-university
214,1135,Jeonbuk National University,National University,701-800,https://www.shanghairanking.com/institution/chonbuk-national-university
215,905,Kent State University,Kent State University,701-800,https://www.shanghairanking.com/institution/kent-state-university
217,1150,New Jersey Institute of Technology,New Jersey Institute of Technology,701-800,https://www.shanghairanking.com/institution/new-jersey-institute-of-technology
218,1217,Ohio University,Ohio University,701-800,https://www.shanghairanking.com/institution/ohio-university
219,1227,Old Dominion University,Old Dominion University,701-800,https://www.shanghairanking.com/institution/old-dominion-university
220,1049,Southern Methodist University,Methodist University,701-800,https://www.shanghairanking.com/institution/southern-methodist-university
222,1559,Syracuse University,Syracuse University,701-800,https://www.shanghairanking.com/institution/syracuse-university
223,1726,"University of Maryland, Baltimore County",University of Mary,701-800,https://www.shanghairanking.com/institution/university-of-maryland-baltimore-county
226,1707,University of Idaho,University of Idaho,701-800,https://www.shanghairanking.com/institution/university-of-idaho
227,1787,University of Oklahoma - Norman,University of Oklahoma,701-800,https://www.shanghairanking.com/institution/university-of-oklahoma-norman
228,1892,University of Wyoming,University of Wyoming,701-800,https://www.shanghairanking.com/institution/university-of-wyoming
229,246,Amherst College,Amherst College,801-900,https://www.shanghairanking.com/institution/amherst-college
230,525,Colorado School of Mines,Colorado School of Mines,801-900,https://www.shanghairanking.com/institution/colorado-school-of-mines
231,714,Fordham University,Fordham University,801-900,https://www.shanghairanking.com/institution/fordham-university
232,1135,Kangwon National University,National University,801-900,https://www.shanghairanking.com/institution/kangwon-national-university
233,966,Lincoln University,Lincoln University (CA),801-900,https://www.shanghairanking.com/institution/lincoln-university
236,1245,Union College,Pacific Union College,801-900,https://www.shanghairanking.com/institution/union-college
239,1719,University of Louisville,University of Louisville,801-900,https://www.shanghairanking.com/institution/university-of-louisville
240,1748,University of Missouri-Kansas City,University of Missouri,801-900,https://www.shanghairanking.com/institution/university-of-missouri-kansas-city-1
241,1759,University of Nebraska Medical Center,University of Nebraska Medical Center,801-900,https://www.shanghairanking.com/institution/university-of-nebraska-medical-center
242,1847,University of Texas at El Paso,The University of Texas at El Paso,801-900,https://www.shanghairanking.com/institution/university-of-texas-at-el-paso
243,1135,Gyeongsang National University,National University,901-1000,https://www.shanghairanking.com/institution/gyeongsang-national-university
244,987,Loyola University Chicago,Loyola University Chicago,901-1000,https://www.shanghairanking.com/institution/loyola-university-chicago
245,1102,Montana State University - Bozeman,Montana State University,901-1000,https://www.shanghairanking.com/institution/montana-state-university-bozeman
246,1135,National University of Colombia,National University,901-1000,https://www.shanghairanking.com/institution/national-university-of-colombia
247,1135,National University of Sciences and Technology Pakistan,National University,901-1000,https://www.shanghairanking.com/institution/national-university-of-sciences-and-technology-pakistan
248,1540,SUNY College of Environmental Science and Forestry,SUNY College of Environmental Science and Forestry,901-1000,https://www.shanghairanking.com/institution/suny-college-of-environmental-science-and-forestry
249,1557,Swarthmore College,Swarthmore College,901-1000,https://www.shanghairanking.com/institution/swarthmore-college
250,1772,University of North Carolina at Greensboro,University of North Carolina at Greensboro,901-1000,https://www.shanghairanking.com/institution/university-of-north-carolina-at-greensboro
251,1656,University of Arkansas at Little Rock,University of Arkansas,901-1000,https://www.shanghairanking.com/institution/university-of-arkansas-at-little-rock
253,1763,University of New England,University of New England,901-1000,https://www.shanghairanking.com/institution/university-of-new-england
254,2022,Yeshiva University,Yeshiva University,901-1000,https://www.shanghairanking.com/institution/yeshiva-university
